PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
"Enes
Kanter",BOS,13,C,6-10,250 lbs,Fenerbahce,Turkey
"Luke
Kennard",LAC,5,G,6-5,206 lbs,Duke,USA
"Louis
King",SAC,23,F,6-7,205 lbs,Oregon,USA
"Corey
Kispert",WAS,24,F,6-6,224 lbs,Gonzaga,USA
"Maxi
Kleber",DAL,42,F,6-10,240 lbs,Bayern Munich,Germany
"Nathan
Knight",MIN,30,F-C,6-10,253 lbs,William & Mary,USA
"Kevin
Knox II",NYK,20,F,6-7,215 lbs,Kentucky,USA
"John
Konchar",MEM,46,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
"Furkan
Korkmaz",PHI,30,G-F,6-7,202 lbs,Anadolu Efes,Turkey
"Vit
Krejci",OKC,27,G,6-8,195 lbs,Zaragoza,Czech Republic
"Arnoldas
Kulboka",CHA,98,F,6-10,209 lbs,Bilbao,Lithuania
"Jonathan
Kuminga",GSW,0,F,6-7,225 lbs,NBA G League Ignite,DRC
"Kyle
Kuzma",WAS,33,F,6-9,221 lbs,Utah,USA
"Zach
LaVine",CHI,8,G-F,6-5,200 lbs,UCLA,USA
"Jeremy
Lamb",IND,26,G-F,6-5,180 lbs,Connecticut,USA
"Jock
Landale",SAS,34,C,6-11,255 lbs,,Australia
"Romeo
Langford",BOS,9,G-F,6-5,216 lbs,Indiana,USA
"Jake
Layman",MIN,10,F,6-8,209 lbs,Maryland,USA
"Caris
LeVert",IND,22,G,6-6,205 lbs,Michigan,USA
"Damion
Lee",GSW,1,G-F,6-5,210 lbs,Drexel,USA
"Saben
Lee",DET,38,G,6-2,183 lbs,Vanderbilt,USA
"Alex
Len",SAC,25,C,7-0,250 lbs,Maryland,Ukraine
"Kawhi
Leonard",LAC,2,F,6-7,225 lbs,San Diego State,USA
"Scottie
Lewis",CHA,16,G,6-5,185 lbs,Florida,USA
"Kira
Lewis Jr.",NOP,13,G,6-1,170 lbs,Alabama,USA
"Damian
Lillard",POR,0,G,6-2,195 lbs,Weber State,USA
"Nassir
Little",POR,9,F-G,6-5,220 lbs,UNC,USA
"Isaiah
Livers",DET,12,F,6-6,232 lbs,Michigan,USA
"Kevon
Looney",GSW,5,F,6-9,222 lbs,UCLA,USA
"Brook
Lopez",MIL,11,C,7-0,282 lbs,Stanford,USA
"Robin
Lopez",ORL,33,C,7-0,281 lbs,Stanford,USA
"Didi
Louzada",NOP,0,G,6-5,188 lbs,Sydney Kings,Brazil
"Kevin
Love",CLE,0,F-C,6-8,251 lbs,UCLA,USA
"Kyle
Lowry",MIA,7,G,6-0,196 lbs,Villanova,USA
"Timothe
Luwawu-Cabarrot",ATL,7,G-F,6-7,215 lbs,Mega Basket,France
"Trey
Lyles",DET,8,F,6-9,234 lbs,Kentucky,Canada
"Theo
Maledon",OKC,11,G,6-4,175 lbs,Asvel,France
"Sandro
Mamukelashvili",MIL,54,F-C,6-9,240 lbs,Seton Hall,Georgia
"Terance
Mann",LAC,14,G-F,6-5,215 lbs,Florida State,USA
"Tre
Mann",OKC,23,G,6-3,178 lbs,Florida,USA
"Boban
Marjanovic",DAL,51,C,7-3,290 lbs,Crvena zvezda,Serbia
"Lauri
Markkanen",CLE,24,F-C,6-11,240 lbs,Arizona,Finland
"Naji
Marshall",NOP,8,F,6-7,220 lbs,Xavier,USA
"Caleb
Martin",MIA,16,F,6-5,205 lbs,Nevada-Reno,USA
"Cody
Martin",CHA,11,F,6-6,205 lbs,Nevada-Reno,USA
"Kelan
Martin",IND,21,F,6-5,230 lbs,Butler,USA
"Kenyon
Martin Jr.",HOU,6,F,6-5,215 lbs,IMG Academy (FL),USA
"Garrison
Mathews",HOU,25,G,6-5,215 lbs,Lipscomb,USA
"Tyrese
Maxey",PHI,0,G,6-2,200 lbs,Kentucky,USA
"Skylar
Mays",ATL,4,G,6-4,205 lbs,Louisiana State,USA
"Miles
McBride",NYK,2,G,6-1,195 lbs,West Virginia,USA
"CJ
McCollum",POR,3,G,6-3,190 lbs,Lehigh,USA
"T.J.
McConnell",IND,9,G,6-1,190 lbs,Arizona,USA
"Jaden
McDaniels",MIN,3,F,6-9,185 lbs,Washington,USA
"Jalen
McDaniels",CHA,6,F-C,6-9,205 lbs,San Diego State,USA
"Doug
McDermott",SAS,17,F,6-7,225 lbs,Creighton,USA
"JaVale
McGee",PHX,0,C-F,7-0,270 lbs,Nevada-Reno,USA
"Rodney
McGruder",DET,17,G,6-4,205 lbs,Kansas State,USA
"JaQuori
McLaughlin",DAL,,G,6-4,190 lbs,California-Santa Barbara,USA
"Jordan
McLaughlin",MIN,6,G,5-11,185 lbs,USC,USA
"Ben
McLemore",POR,23,G,6-3,195 lbs,Kansas,USA
"De'Anthony
Melton",MEM,0,G,6-2,200 lbs,USC,USA
"Sam
Merrill",MEM,25,G,6-4,205 lbs,Utah State,USA
"Chimezie
Metu",SAC,7,F-C,6-9,225 lbs,USC,USA
"Khris
Middleton",MIL,22,F,6-7,222 lbs,Texas A&M,USA
"Patty
Mills",BKN,8,G,6-0,180 lbs,St.Mary's College of California,Australia
"Paul
Millsap",BKN,31,F,6-7,257 lbs,Louisiana Tech,USA
"Shake
Milton",PHI,18,G-F,6-5,205 lbs,Southern Methodist,USA
"Davion
Mitchell",SAC,15,G,6-0,202 lbs,Baylor,USA
"Donovan
Mitchell",UTA,45,G,6-1,215 lbs,Louisville,USA
"Evan
Mobley",CLE,4,C,6-11,215 lbs,USC,USA
"Malik
Monk",LAL,11,G,6-3,200 lbs,Kentucky,USA
"Moses
Moody",GSW,4,G,6-5,211 lbs,Arkansas,USA
"E'Twaun
Moore",ORL,55,G,6-3,191 lbs,Purdue,USA
"Ja
Morant",MEM,12,G,6-3,174 lbs,Murray State,USA
"Markieff
Morris",MIA,8,F,6-9,245 lbs,Kansas,USA
"Monte
Morris",DEN,11,G,6-2,183 lbs,Iowa State,USA
"Marcus
Morris Sr.",LAC,8,F,6-8,218 lbs,Kansas,USA
"Mychal
Mulder",ORL,2,G,6-3,184 lbs,Kentucky,Canada
"Trey
Murphy III",NOP,25,F,6-8,206 lbs,Virginia,USA
"Dejounte
Murray",SAS,5,G,6-4,180 lbs,Washington,USA
"Jamal
Murray",DEN,27,G,6-3,215 lbs,Kentucky,Canada
"Mike
Muscala",OKC,33,F-C,6-10,240 lbs,Bucknell,USA
"Svi
Mykhailiuk",TOR,14,G-F,6-7,205 lbs,Kansas,Ukraine
"Abdel
Nader",PHX,11,F,6-5,225 lbs,Iowa State,Egypt
"Larry
Nance Jr.",POR,11,F-C,6-7,245 lbs,Wyoming,USA
"RJ
Nembhard Jr.",CLE,5,G,6-4,200 lbs,TCU,USA
"Aaron
Nesmith",BOS,26,G-F,6-5,215 lbs,Vanderbilt,USA
"Raul
Neto",WAS,19,G,6-2,180 lbs,Murcia,Brazil
"Georges
Niang",PHI,20,F,6-7,230 lbs,Iowa State,USA
"Daishen
Nix",HOU,15,G,6-4,226 lbs,NBA G League Ignite,USA
"Zeke
Nnaji",DEN,22,F-C,6-9,240 lbs,Arizona,USA
"Nerlens
Noel",NYK,3,C-F,6-11,220 lbs,Kentucky,USA
"Jaylen
Nowell",MIN,4,G,6-4,201 lbs,Washington,USA
"Frank
Ntilikina",DAL,21,G,6-4,200 lbs,Strasbourg IG,France
"Kendrick
Nunn",LAL,12,G,6-2,190 lbs,Oakland,USA
"Jusuf
Nurkic",POR,27,C,6-11,290 lbs,Cedevita,Bosnia and Herzegovina
"David
Nwaba",HOU,2,G-F,6-5,219 lbs,Cal Poly,USA
"Jordan
Nwora",MIL,13,F,6-8,225 lbs,Louisville,USA
"Royce
O'Neale",UTA,23,F,6-5,226 lbs,Baylor,USA
"Semi
Ojeleye",MIL,37,F,6-6,240 lbs,Southern Methodist,USA
"Chuma
Okeke",ORL,3,F,6-6,229 lbs,Auburn,USA
"Josh
Okogie",MIN,20,G,6-4,213 lbs,Georgia Tech,Nigeria
"Onyeka
Okongwu",ATL,17,F-C,6-8,240 lbs,USC,USA
"Isaac
Okoro",CLE,35,F-G,6-5,225 lbs,Auburn,USA
"KZ
Okpala",MIA,11,F-G,6-8,215 lbs,Stanford,USA
"Victor
Oladipo",MIA,4,G,6-4,213 lbs,Indiana,USA
"Kelly
Olynyk",DET,13,F-C,6-11,240 lbs,Gonzaga,Canada
"Eugene
Omoruyi",DAL,,F,6-6,235 lbs,Oregon,Nigeria
"Miye
Oni",UTA,81,G-F,6-5,206 lbs,Yale,USA
"Cedi
Osman",CLE,16,F,6-7,230 lbs,Anadolu Efes,Turkey
"Kelly
Oubre Jr.",CHA,12,F-G,6-6,203 lbs,Kansas,USA
"Kevin
Pangos",CLE,6,G,6-1,179 lbs,Gonzaga,Canada
"Jabari
Parker",BOS,20,F,6-7,245 lbs,Duke,USA
"Eric
Paschall",UTA,0,F,6-6,255 lbs,Villanova,USA
"Chris
Paul",PHX,3,G,6-0,175 lbs,Wake Forest,USA
"Cameron
Payne",PHX,15,G,6-1,183 lbs,Murray State,USA
"Elfrid
Payton",PHX,2,G,6-3,195 lbs,Louisana-Lafayette,USA
"Gary
Payton II",GSW,0,G,6-3,195 lbs,Oregon State,USA
"Jamorko
Pickett",DET,24,F,6-9,206 lbs,Georgetown,USA
"Mason
Plumlee",CHA,24,F-C,6-11,254 lbs,Duke,USA
"Jakob
Poeltl",SAS,25,C,7-1,245 lbs,Utah,Austria
"Aleksej
Pokusevski",OKC,17,F,7-0,190 lbs,Olympiacos,Serbia
"Yves
Pons",MEM,5,F,6-5,206 lbs,Tennessee,France
"Jordan
Poole",GSW,3,G,6-4,194 lbs,Michigan,USA
"Kevin
Porter Jr.",HOU,3,G-F,6-4,203 lbs,USC,USA
"Michael
Porter Jr.",DEN,1,F,6-10,218 lbs,Missouri,USA
"Otto
Porter Jr.",GSW,32,F,6-8,198 lbs,Georgetown,USA
"Bobby
Portis",MIL,9,F,6-10,250 lbs,Arkansas,USA
"Kristaps
Porzingis",DAL,6,F-C,7-3,240 lbs,Cajasol Sevilla,Latvia
"Dwight
Powell",DAL,7,F-C,6-10,240 lbs,Stanford,Canada
"Norman
Powell",POR,24,G,6-3,215 lbs,UCLA,USA
"Jason
Preston",LAC,17,G,6-3,181 lbs,Ohio,USA
"Joshua
Primo",SAS,11,G,6-4,189 lbs,Alabama,Canada
"Taurean
Prince",MIN,12,F,6-6,218 lbs,Baylor,USA
"Payton
Pritchard",BOS,11,G,6-1,195 lbs,Oregon,USA
"Neemias
Queta",SAC,88,C,7-0,248 lbs,Utah State,Portugal
"Immanuel
Quickley",NYK,5,G,6-3,190 lbs,Kentucky,USA
"Jahmi'us
Ramsey",SAC,20,G,6-3,190 lbs,Texas Tech,USA
"Julius
Randle",NYK,30,F-C,6-8,250 lbs,Kentucky,USA
"Austin
Reaves",LAL,15,G,6-5,197 lbs,Oklahoma,USA
"Cam
Reddish",ATL,22,F-G,6-8,217 lbs,Duke,USA
"Paul
Reed",PHI,44,F,6-9,210 lbs,DePaul,USA
"Naz
Reid",MIN,11,C-F,6-9,264 lbs,Louisiana State,USA
"Nick
Richards",CHA,14,C,7-0,245 lbs,Kentucky,Jamaica
"Josh
Richardson",BOS,8,G,6-5,200 lbs,Tennessee,USA
"Grant
Riller",PHI,5,G,6-1,190 lbs,College of Charleston,USA
"Austin
Rivers",DEN,25,G,6-4,200 lbs,Duke,USA
"Duncan
Robinson",MIA,55,F,6-7,215 lbs,Michigan,USA
"Justin
Robinson",MIL,55,G,6-1,195 lbs,Virginia Tech,USA
"Mitchell
Robinson",NYK,23,C-F,7-0,240 lbs,Western Kentucky,USA
"Jeremiah
Robinson-Earl",OKC,50,F,6-8,242 lbs,Villanova,USA
"Isaiah
Roby",OKC,22,F,6-8,230 lbs,Nebraska-Lincoln,USA
"Rajon
Rondo",LAL,4,G,6-1,180 lbs,Kentucky,USA
"Derrick
Rose",NYK,4,G,6-2,200 lbs,Memphis,USA
"Terrence
Ross",ORL,31,G-F,6-6,206 lbs,Washington,USA
"Terry
Rozier",CHA,3,G,6-1,190 lbs,Louisville,USA
"Ricky
Rubio",CLE,3,G,6-2,190 lbs,FC Barcelona,Spain
"D'Angelo
Russell",MIN,0,G,6-4,193 lbs,Ohio State,USA
"Domantas
Sabonis",IND,11,F-C,6-11,240 lbs,Gonzaga,Lithuania
"Luka
Samanic",NYK,91,F,6-10,227 lbs,Union Olimpija,Croatia
"Dario
Saric",PHX,20,F-C,6-10,225 lbs,Anadolu Efes,Croatia
"Tomas
Satoransky",NOP,31,G,6-7,210 lbs,FC Barcelona,Czech Republic
"Dennis
Schroder",BOS,71,G,6-1,172 lbs,Braunschweig,Germany
"Jay
Scrubb",LAC,0,G,6-5,220 lbs,John A. Logan,USA
"Wayne
Selden",NYK,11,G,6-4,232 lbs,Kansas,USA
"Alperen
Sengun",HOU,28,C,6-10,243 lbs,Besiktas,Turkey
"Collin
Sexton",CLE,2,G,6-1,190 lbs,Alabama,USA
"Landry
Shamet",PHX,14,G,6-4,190 lbs,Wichita State,USA
"Day'Ron
Sharpe",BKN,20,F,6-9,265 lbs,UNC,USA
"Pascal
Siakam",TOR,43,F,6-8,230 lbs,New Mexico State,Cameroon
"Ben
Simmons",PHI,25,G-F,6-11,240 lbs,Louisiana State,Australia
"Marko
Simonovic",CHI,19,C,6-11,220 lbs,Mega Basket,Montenegro
"Anfernee
Simons",POR,1,G,6-3,181 lbs,Edgewater HS (FL),USA
"Jericho
Sims",NYK,45,C,6-9,250 lbs,Texas,USA
"Marcus
Smart",BOS,36,G,6-4,220 lbs,Oklahoma State,USA
"Chris
Smith",DET,0,F,6-9,215 lbs,UCLA,USA
"Ish
Smith",CHA,10,G,6-0,175 lbs,Wake Forest,USA
"Jalen
Smith",PHX,10,F-C,6-10,215 lbs,Maryland,USA
"Dennis
Smith Jr.",POR,10,G,6-2,205 lbs,UNC State,USA
"Tony
Snell",POR,17,G,6-6,213 lbs,New Mexico,USA
"Jaden
Springer",PHI,11,G,6-4,202 lbs,Tennessee,USA
"Lamar
Stevens",CLE,8,F,6-6,230 lbs,Penn State,USA
"Isaiah
Stewart",DET,28,F-C,6-8,250 lbs,Washington,USA
"Max
Strus",MIA,31,G-F,6-5,215 lbs,DePaul,USA
"Jalen
Suggs",ORL,4,G,6-5,205 lbs,Gonzaga,USA
"Jae'Sean
Tate",HOU,8,F,6-4,230 lbs,Ohio State,USA
"Jayson
Tatum",BOS,0,F-G,6-8,210 lbs,Duke,USA
"Garrett
Temple",NOP,41,G-F,6-5,195 lbs,Louisiana State,USA
"Daniel
Theis",HOU,27,F-C,6-9,245 lbs,Brose Bamberg,Germany
"Brodric
Thomas",BOS,97,G,6-5,185 lbs,Truman State,USA
"Cam
Thomas",BKN,24,G,6-3,210 lbs,Louisiana State,Japan
"Matt
Thomas",CHI,21,G,6-3,190 lbs,Iowa State,USA
"Klay
Thompson",GSW,11,G,6-6,220 lbs,Washington State,USA
"Tristan
Thompson",SAC,13,C-F,6-9,254 lbs,Texas,Canada
"JT
Thor",CHA,21,F,6-9,203 lbs,Auburn,USA
"Matisse
Thybulle",PHI,22,G-F,6-5,201 lbs,Washington,USA
"Killian
Tillie",MEM,35,F-C,6-9,220 lbs,Gonzaga,France
"Xavier
Tillman",MEM,2,F,6-8,245 lbs,Michigan St,USA
"Isaiah
Todd",WAS,14,F,6-9,219 lbs,NBA G League Ignite,USA
"Obi
Toppin",NYK,1,F,6-9,220 lbs,Dayton,USA
"Juan
Toscano-Anderson",GSW,95,F,6-6,209 lbs,Marquette,USA
"Karl-Anthony
Towns",MIN,32,C-F,6-11,248 lbs,Kentucky,USA
"Gary
Trent Jr.",TOR,33,G-F,6-5,209 lbs,Duke,USA
"P.J.
Tucker",MIA,17,F,6-5,245 lbs,Texas,USA
"Myles
Turner",IND,33,C-F,6-11,250 lbs,Texas,USA
"Jonas
Valanciunas",NOP,17,C,6-11,265 lbs,Lietuvos rytas Vilnius,Lithuania
"Denzel
Valentine",CLE,45,G,6-4,220 lbs,Michigan St,USA
"Fred
VanVleet",TOR,23,G,6-1,197 lbs,Wichita State,USA
"Jarred
Vanderbilt",MIN,8,F,6-9,214 lbs,Kentucky,USA
"Devin
Vassell",SAS,24,G-F,6-5,200 lbs,Florida State,USA
"Gabe
Vincent",MIA,2,G,6-3,200 lbs,California-Santa Barbara,USA
"Nikola
Vucevic",CHI,9,C,6-10,260 lbs,USC,Montenegro
"Dean
Wade",CLE,32,F-C,6-9,228 lbs,Kansas State,USA
"Franz
Wagner",ORL,22,F,6-10,220 lbs,Michigan,Germany
"Moritz
Wagner",ORL,21,F-C,6-11,245 lbs,Michigan,Germany
"Ish
Wainright",PHX,12,F,6-5,250 lbs,Baylor,USA
"Kemba
Walker",NYK,8,G,6-0,184 lbs,Connecticut,USA
"Lonnie
Walker IV",SAS,1,G-F,6-4,204 lbs,Miami,USA
"John
Wall",HOU,1,G,6-3,210 lbs,Kentucky,USA
"Brad
Wanamaker",IND,10,G,6-3,210 lbs,Pittsburgh,USA
"T.J.
Warren",IND,1,F,6-8,220 lbs,UNC State,USA
"P.J.
Washington",CHA,25,F,6-7,230 lbs,Kentucky,USA
"Duane
Washington Jr.",IND,4,G,6-3,197 lbs,Ohio State,Germany
"Yuta
Watanabe",TOR,18,G-F,6-9,215 lbs,George Washington,Japan
"Trendon
Watford",POR,2,F,6-8,237 lbs,Louisiana State,USA
"Paul
Watson",OKC,8,G,6-6,210 lbs,Fresno State,USA
"Russell
Westbrook",LAL,0,G,6-3,200 lbs,UCLA,USA
"Coby
White",CHI,0,G,6-4,195 lbs,UNC,USA
"Derrick
White",SAS,4,G,6-4,190 lbs,Colorado,USA
"Hassan
Whiteside",UTA,21,C,7-0,265 lbs,Marshall,USA
"Joe
Wieskamp",SAS,15,G-F,6-6,205 lbs,Iowa,USA
"Aaron
Wiggins",OKC,21,G,6-4,190 lbs,Maryland,USA
"Andrew
Wiggins",GSW,22,F,6-7,197 lbs,Kansas,Canada
"Grant
Williams",BOS,12,F,6-6,236 lbs,Tennessee,USA
"Kenrich
Williams",OKC,34,G-F,6-6,210 lbs,TCU,USA
"Lou
Williams",ATL,6,G,6-2,175 lbs,South Gwinnett HS (GA),USA
"Patrick
Williams",CHI,44,F,6-7,215 lbs,Florida State,USA
"Ziaire
Williams",MEM,8,F,6-9,185 lbs,Stanford,USA
"Robert
Williams III",BOS,44,C-F,6-9,237 lbs,Texas A&M,USA
"Zion
Williamson",NOP,1,F,6-6,284 lbs,Duke,USA
"Dylan
Windler",CLE,9,G-F,6-6,196 lbs,Belmont,USA
"Justise
Winslow",LAC,20,F-G,6-6,222 lbs,Duke,USA
"Cassius
Winston",WAS,5,G,6-1,185 lbs,Michigan St,USA
"James
Wiseman",GSW,33,C,7-0,240 lbs,Memphis,USA
"Christian
Wood",HOU,35,F,6-9,214 lbs,UNLV,USA
"Robert
Woodard II",SAC,17,F,6-6,235 lbs,Mississippi State,USA
"Delon
Wright",ATL,0,G,6-5,185 lbs,Utah,USA
"McKinley
Wright IV",MIN,25,G,5-11,192 lbs,Colorado,USA
"Thaddeus
Young",SAS,30,F,6-8,235 lbs,Georgia Tech,USA
"Trae
Young",ATL,11,G,6-1,164 lbs,Oklahoma,USA
"Omer
Yurtseven",MIA,77,C,6-11,275 lbs,Georgetown,Turkey
"Cody
Zeller",POR,40,F-C,6-11,240 lbs,Indiana,USA
"Ivica
Zubac",LAC,40,C,7-0,240 lbs,Mega Basket,Croatia